station_a,station_b,num_trains
AAS,JWL,51
JWL,BNO,51
BNO,RKB,51
RKB,JU,43
RKB,MMC,8
BXR,CSA,124
BXR,BUE,127
BXR,PWXP,1
CSA,BQW,131
CSA,PWXP,1
BQW,GMR,131
GMR,KKRH,131
KKRH,BWH,131
BWH,USK,131
USK,DLN,131
DLN,DRV,132
DRV,ZNA,133
ZNA,BHCL,133
BHCL,DHA,133
DHA,TLAM,133
TLAM,SLD,133
SLD,KCA,133
KCA,MGS,127
HWH,TPKR,91
HWH,LLH,84
HWH,MURI,1
TPKR,DSNR,154
DSNR,RMJ,154
RMJ,SRC,153
SRC,MRGM,177
SRC,PDPK,21
MRGM,ADL,180
ADL,SEL,180
SEL,ABB,180
ABB,NALR,180
NALR,BVA,180
BVA,CGA,180
CGA,FLR,180
FLR,ULB,180
ULB,BSBP,180
BSBP,KGY,180
KGY,BZN,180
BZN,GGTA,180
GGTA,DTE,180
DTE,KIG,176
DTE,MCA,3
KIG,MCA,175
MCA,NDGJ,178
NDGJ,BOP,178
BOP,NPMR,177
NPMR,PKU,156
BWN,TIT,209
BWN,GRP,181
TIT,KAN,218
KAN,JTL,79
KAN,GLI,139
JTL,BPS,79
BPS,NRX,74
BPS,GKH,5
NRX,GKH,74
GKH,PCQ,79
PCQ,BDH,79
BDH,BHP,77
BHP,PNE,75
PNE,KPLE,75
KPLE,AMP,75
AMP,BSLE,75
BSLE,SNT,75
SNT,GHLE,91
SNT,SURI,19
GHLE,MLV,91
MLV,TPF,87
MLV,RPH,4
TPF,RPH,78
CSB,NDLS,130
CSB,TKJ,197
TKJ,ANVR,116
TKJ,PGMD,77
