train_number,n_stops,total_distance_km,avg_km_per_stop,n_skip_segments,stations_skipped
63255,13,82.1,6.8,0,0
63249,13,82.1,6.8,0,0
56601,15,82.1,5.9,0,0
63251,13,82.1,6.8,0,0
63245,13,82.1,6.8,0,0
52990,16,82.0,5.5,0,0
59357,15,81.8,5.8,0,0
54403,13,81.6,6.8,0,0
52949,11,81.6,8.2,0,0
54405,13,81.6,6.8,0,0
51417,19,81.4,4.5,0,0
54418,20,81.4,4.3,0,0
54420,20,81.4,4.3,0,0
54310,20,81.4,4.3,0,0
54416,20,81.4,4.3,0,0
57411,12,81.4,7.4,0,0
57429,12,81.4,7.4,0,0
54086,20,81.4,4.3,0,0
54414,20,81.4,4.3,0,0
56305,13,81.3,6.8,0,0
55574,9,81.3,10.2,0,0
57430,12,81.3,7.4,0,0
57412,12,81.3,7.4,0,0
56393,13,81.3,6.8,0,0
59358,15,81.0,5.8,0,0
52288,11,80.8,8.1,0,0
51418,19,80.7,4.5,0,0
56508,15,80.7,5.8,0,0
56510,15,80.7,5.8,0,0
55037,11,80.5,8.0,0,0
54323,9,80.5,10.1,0,0
58415,20,80.5,4.2,0,0
06839,12,80.2,7.3,0,0
04031,18,80.1,4.7,0,0
52252,11,80.1,8.0,0,0
64001,18,80.1,4.7,0,0
42802,22,80.0,3.8,0,0
54237,6,79.9,16.0,0,0
58406,10,79.7,8.9,0,0
42422,21,79.6,4.0,0,0
42404,21,79.6,4.0,0,0
56523,14,79.6,6.1,0,0
42416,21,79.6,4.0,0,0
42412,21,79.6,4.0,0,0
42402,21,79.6,4.0,0,0
42420,21,79.6,4.0,0,0
42406,21,79.6,4.0,0,0
54004,11,79.6,8.0,0,0
42414,21,79.6,4.0,0,0
42408,21,79.6,4.0,0,0
63574,12,79.2,7.2,0,0
63572,12,79.2,7.2,0,0
56509,15,78.8,5.6,0,0
56507,15,78.8,5.6,0,0
53607,13,78.7,6.6,0,0
43506,29,78.6,2.8,0,0
52231,11,78.5,7.8,0,0
53603,12,78.5,7.1,0,0
53363,12,78.5,7.1,0,0
52233,13,78.5,6.5,0,0
53601,12,78.5,7.1,0,0
52235,13,78.5,6.5,0,0
52971,14,78.4,6.0,0,0
56646,9,78.3,9.8,0,0
55904,12,78.3,7.1,0,0
52989,13,78.2,6.5,0,0
63220,12,78.2,7.1,0,0
56600,15,78.2,5.6,0,0
55817,12,78.1,7.1,0,0
37657,27,78.1,3.0,0,0
59228,14,78.1,6.0,0,0
52322,6,78.0,15.6,0,0
52324,6,78.0,15.6,0,0
52326,6,78.0,15.6,0,0
52330,6,78.0,15.6,0,0
52328,6,78.0,15.6,0,0
54011,22,77.9,3.7,0,0
63541,16,77.8,5.2,0,0
63543,16,77.8,5.2,0,0
52251,11,77.6,7.8,0,0
54785,12,77.6,7.1,0,0
52175,14,77.5,6.0,0,0
52297,8,77.3,11.0,0,0
55816,13,77.2,6.4,0,0
54401,12,77.1,7.0,0,0
52211,11,77.0,7.7,0,0
52287,11,77.0,7.7,0,0
55335,11,77.0,7.7,0,0
52209,11,77.0,7.7,0,0
37658,27,77.0,3.0,0,0
56647,9,76.9,9.6,0,0
58401,11,76.7,7.7,0,0
56370,18,76.7,4.5,0,0
54355,12,76.7,7.0,0,0
54561,12,76.7,7.0,0,0
56517,12,76.7,7.0,0,0
54422,17,76.7,4.8,0,0
56376,18,76.7,4.5,0,0
54563,12,76.7,7.0,0,0
09741,17,76.7,4.8,0,0
57643,11,76.6,7.7,0,0
55247,14,76.4,5.9,0,0
55549,14,76.4,5.9,0,0
53364,12,76.4,6.9,0,0
59461,15,76.4,5.5,0,0
53608,12,76.4,6.9,0,0
53604,12,76.4,6.9,0,0
53602,12,76.4,6.9,0,0
55559,10,76.2,8.5,0,0
52087,8,76.1,10.9,0,0
57644,11,76.1,7.6,0,0
02089,8,76.1,10.9,0,0
08785,16,75.8,5.1,0,0
55142,14,75.5,5.8,0,0
15020,13,75.5,6.3,0,0
55044,14,75.5,5.8,0,0
55040,14,75.5,5.8,0,0
56661,12,75.4,6.9,0,0
54564,12,75.1,6.8,0,0
54562,12,75.1,6.8,0,0
52210,10,74.8,8.3,0,0
54419,20,74.8,3.9,0,0
52212,10,74.8,8.3,0,0
54417,20,74.8,3.9,0,0
54085,20,74.8,3.9,0,0
54309,20,74.8,3.9,0,0
54415,20,74.8,3.9,0,0
54413,20,74.8,3.9,0,0
58402,11,74.6,7.5,0,0
51678,11,74.5,7.5,0,0
51260,10,74.5,8.3,0,0
51259,10,74.2,8.2,0,0
58842,16,74.2,4.9,0,0
02090,8,74.1,10.6,0,0
52088,8,74.1,10.6,0,0
55573,9,74.1,9.3,0,0
54787,10,74.0,8.2,0,0
51677,11,74.0,7.4,0,0
52907,19,73.7,4.1,0,0
52909,19,73.7,4.1,0,0
52905,19,73.7,4.1,0,0
19915,19,73.7,4.1,0,0
52903,19,73.7,4.1,0,0
19911,19,73.7,4.1,0,0
56300,13,73.7,6.1,0,0
58841,16,73.6,4.9,0,0
54356,12,73.5,6.7,0,0
06840,12,73.4,6.7,0,0
55560,10,73.4,8.2,0,0
51350,11,73.4,7.3,0,0
08786,16,73.4,4.9,0,0
52567,11,73.3,7.3,0,0
52901,18,73.1,4.3,0,0
54151,12,72.9,6.6,0,0
52950,11,72.9,7.3,0,0
58410,10,72.7,8.1,0,0
63593,14,72.4,5.6,0,0
52902,19,72.4,4.0,0,0
52904,19,72.4,4.0,0,0
52906,19,72.4,4.0,0,0
19916,19,72.4,4.0,0,0
52908,19,72.4,4.0,0,0
52910,19,72.4,4.0,0,0
55306,13,72.1,6.0,0,0
54559,9,71.8,9.0,0,0
54002,19,71.7,4.0,0,0
59166,12,71.7,6.5,0,0
59116,12,71.7,6.5,0,0
52250,9,71.6,9.0,0,0
16862,3,71.2,35.6,0,0
56892,3,71.2,35.6,0,0
53352,7,71.2,11.9,0,0
56894,3,71.2,35.6,0,0
53137,12,71.1,6.5,0,0
58405,10,71.0,7.9,0,0
54421,17,70.6,4.4,0,0
09742,17,70.6,4.4,0,0
52917,12,70.5,6.4,0,0
52915,12,70.5,6.4,0,0
54575,14,70.5,5.4,0,0
51763,11,70.4,7.0,0,0
51765,11,70.4,7.0,0,0
56301,13,70.4,5.9,0,0
59306,9,70.1,8.8,0,0
43823,29,70.0,2.5,0,0
09761,7,69.9,11.6,0,0
09763,7,69.9,11.6,0,0
33512,27,69.8,2.7,0,0
56317,15,69.7,5.0,0,0
17241,19,69.6,3.9,0,0
57263,19,69.6,3.9,0,0
54152,12,69.5,6.3,0,0
63594,14,69.4,5.3,0,0
56318,15,69.4,5.0,0,0
58152,10,69.4,7.7,0,0
63556,14,69.4,5.3,0,0
55039,13,69.2,5.8,0,0
55903,12,69.2,6.3,0,0
