station_a,name_a,state_a,station_b,name_b,state_b,num_trains,distance_km
AAY,ARALVAYMOZHI,Tamil Nadu,NPK,NORTH PANAKUDI,Tamil Nadu,34,9.4
NPK,NORTH PANAKUDI,Tamil Nadu,VLY,VALLIYUR,Tamil Nadu,34,7.6
VLY,VALLIYUR,Tamil Nadu,DYS,DALAPATHY SAMUDRAM,Tamil Nadu,34,6.6
DYS,DALAPATHY SAMUDRAM,Tamil Nadu,NNN,NANGUNERI,Tamil Nadu,34,7.0
NNN,NANGUNERI,Tamil Nadu,SGLM,SENGULAM,Tamil Nadu,34,13.3
SGLM,SENGULAM,Tamil Nadu,MP,MELAPPALAIYAM,Tamil Nadu,34,11.3
CII,CHETTIYAPATTI,,TMP,TAMARAIPADI,,36,40.1
TMP,TAMARAIPADI,,VDM,VADAMADURA,,42,7.3
VDM,VADAMADURA,,AYR,AYYALUR,,44,8.0
AYR,AYYALUR,,KFC,KALPATTICHATRAM,,42,9.3
AYR,AYYALUR,,VPJ,VALYAMPATTI,,2,18.0
KFC,KALPATTICHATRAM,,VPJ,VALYAMPATTI,,44,8.7
VPJ,VALYAMPATTI,,MPA,MANAPARAI,,46,13.8
MPA,MANAPARAI,,SMDM,SAMUDRAM,,44,9.7
MPA,MANAPARAI,,KLS,KOLATUR,,2,17.6
SMDM,SAMUDRAM,,KLS,KOLATUR,,44,8.0
KLS,KOLATUR,,PUG,PUNGGUDI,,44,9.5
TPTN,TIRUCHIRAPALI TOWN,,SRGM,SRIRANGAM,,44,3.3
SRGM,SRIRANGAM,,UKV,UTTAMARKOVIL,,44,2.3
UKV,UTTAMARKOVIL,,BXS,PICHCHANDARKOVL,,44,2.0
BXS,PICHCHANDARKOVL,,VLDE,VALADI,,44,4.2
VLDE,VALADI,,MAND,MANDURAI,,42,3.1
VLDE,VALADI,,LLI,LALGUDI,,2,6.1
MAND,MANDURAI,,LLI,LALGUDI,,42,3.0
LLI,LALGUDI,,KTTR,KATTUR,,42,5.1
LLI,LALGUDI,,PMB,PULLAMBADI,,2,13.4
KTTR,KATTUR,,PMB,PULLAMBADI,,42,8.4
PMB,PULLAMBADI,,KKPM,KALLAKKUDI PLGH,,44,4.5
KKPM,KALLAKKUDI PLGH,,KLGM,KALLAGAM,,44,9.1
KLGM,KALLAGAM,,SLTH,SILLAKKUDI,,44,8.5
SLTH,SILLAKKUDI,,ALU,ARIYALUR,,44,7.0
ALU,ARIYALUR,,OTK,OTTAKOVIL,,44,9.3
OTK,OTTAKOVIL,,VER,VELLUR HALT,,44,3.8
VER,VELLUR HALT,,SNDI,SENDURAI,,44,3.7
SNDI,SENDURAI,,MTUR,MATHUR,,44,8.0
MTUR,MATHUR,,ICG,ICHCHANGADU,,44,6.1
ICG,ICHCHANGADU,,PNDM,PENNADAM,,44,3.0
PNDM,PENNADAM,,TLNR,TALANALLUR,,44,4.9
TLNR,TALANALLUR,,VRT,VRIDDHACHALM TN,,44,6.6
VRT,VRIDDHACHALM TN,,VRI,VRIDHACHALAM JN,,43,7.1
VRI,VRIDHACHALAM JN,,PVN,PAVUNUR,,42,7.3
VRI,VRIDHACHALAM JN,,CHSM,CHINNA SALEM,,2,49.3
VRI,VRIDHACHALAM JN,,MKSP,MUKHASA PARUR,,2,8.9
VRI,VRIDHACHALAM JN,,UMG,Uttangal Mangalam,Tamil Nadu,3,11.2
PVN,PAVUNUR,,MPLY,MEPPULIYUR,,43,8.5
PVN,PAVUNUR,,CHSM,CHINNA SALEM,,1,48.3
MPLY,MEPPULIYUR,,ULU,ULUNDURPET,,43,3.1
ULU,ULUNDURPET,,PRKL,PARIKKAL,,43,10.3
PRKL,PARIKKAL,,TVNL,TIRVNLNLUR ROAD,,43,2.4
TVNL,TIRVNLNLUR ROAD,,KDMD,KANDAMBAKKAM,,43,1.6
KDMD,KANDAMBAKKAM,,VM,VILLUPURAM JN,,42,19.1
VM,VILLUPURAM JN,,MYP,MUNDILYAMPAKKAM,,66,6.0
VM,VILLUPURAM JN,,VRA,Valavanur,Tamil Nadu,15,8.5
VM,VILLUPURAM JN,,MMP,MAMBALAPPATTU JN,Tamil Nadu,4,13.8
MYP,MUNDILYAMPAKKAM,,VVN,VIKRAVANDI,,67,5.5
VVN,VIKRAVANDI,,PEI,PERANI,,67,7.5
PEI,PERANI,,MTL,MAILAM,,67,8.3
MTL,MAILAM,,TMV,TINDIVANAM,,67,9.3
TMV,TINDIVANAM,,OLA,OLAKUR,,67,11.5
OLA,OLAKUR,,KSGL,KARASANGAL,,67,4.3
KSGL,KARASANGAL,,TZD,TOZHUPPEDU,,67,5.2
TZD,TOZHUPPEDU,,ACK,ACHARAPAKKAM,,67,6.1
ACK,ACHARAPAKKAM,,MLMR,MELMARUVATTUR,,67,2.9
MLMR,MELMARUVATTUR,,MMK,MADURANTAKAM,,67,10.5
MMK,MADURANTAKAM,,KGZ,KARUNGUZHI,,67,3.7
KGZ,KARUNGUZHI,,PTM,PADALAM,,67,7.8
PTM,PADALAM,,OV,OTIVAKKAM,,67,4.5
BPRH,Balpur Halt,Chhattisgarh,KTHD,Kothari Road,Chhattisgarh,14,4.9
KTHD,Kothari Road,Chhattisgarh,MWRN,Madwarani,Chhattisgarh,14,1.0
MWRN,Madwarani,Chhattisgarh,SRBA,Saragbundia,Chhattisgarh,14,5.6
SRBA,Saragbundia,Chhattisgarh,URGA,Urga,Chhattisgarh,14,6.0
URGA,Urga,Chhattisgarh,KRBA,Korba,Chhattisgarh,10,8.3
KRBA,Korba,Chhattisgarh,GAD,Gevra Road,Chhattisgarh,3,7.0
BJQ,BAGHORA,,KYE,KHURAI,,42,11.8
BJQ,BAGHORA,,MAKR,MALKHERI,,1,5.4
KYE,KHURAI,,SMRR,SUMRERI,,42,8.5
SMRR,SUMRERI,,JRK,JERUWA KHERA,,42,8.9
JRK,JERUWA KHERA,,ISH,ISARWARA,,42,8.8
ISH,ISARWARA,,NOI,NARIAOLI,,42,6.6
NOI,NARIAOLI,,RTZ,RATONA,,42,10.6
RTZ,RATONA,,SGO,SAUGOR,,42,6.0
SGO,SAUGOR,,MKRN,MAKRONIA,,43,7.0
MKRN,MAKRONIA,,LDA,LIDHORA KHURD,,43,6.7
LDA,LIDHORA KHURD,,GW,GIRWAR,,43,6.7
GW,GIRWAR,,DGD,DANGIDHAR,,43,9.3
DGD,DANGIDHAR,,GAJ,GANESHGANJ,,43,6.2
GAJ,GANESHGANJ,,PHA,PATHARIA,,43,12.1
PHA,PATHARIA,,ANA,ASLANA,,43,13.8
ANA,ASLANA,,DMO,DAMOH,,40,11.8
BGKT,BHAGAT KI KOTHI,Rajasthan,BANE,BASNI,Rajasthan,49,2.9
BANE,BASNI,Rajasthan,SZ,SALAWAS,Rajasthan,50,9.2
SZ,SALAWAS,Rajasthan,HWT,HANWANT,Rajasthan,50,9.0
HWT,HANWANT,Rajasthan,LUNI,LUNI JN,Rajasthan,50,6.5
LUNI,LUNI JN,Rajasthan,RT,ROHAT,Rajasthan,26,12.8
LUNI,LUNI JN,Rajasthan,SUT,SUTLANA,Rajasthan,24,6.2
RT,ROHAT,Rajasthan,KAI,KAIRLA,Rajasthan,25,13.0
RT,ROHAT,Rajasthan,PMY,PALI MARWAR,Rajasthan,1,27.4
KAI,KAIRLA,Rajasthan,PMY,PALI MARWAR,Rajasthan,24,14.6
KAI,KAIRLA,Rajasthan,BOM,BOMADRA,Rajasthan,1,25.5
PMY,PALI MARWAR,Rajasthan,BOM,BOMADRA,Rajasthan,25,11.3
BOM,BOMADRA,Rajasthan,RKZ,RAJKIAWAS,Rajasthan,26,9.1
MNGT,MYSORE NEW GOOD,Karnataka,NHY,NAGANAHALLI,Karnataka,41,4.7
NHY,NAGANAHALLI,Karnataka,S,SHRIRANGAPATNA,Karnataka,41,5.7
S,SHRIRANGAPATNA,Karnataka,PANP,PANDAVAPURA,Karnataka,41,4.3
PANP,PANDAVAPURA,Karnataka,CGKP,CHANDAGIRIKOPAL,Karnataka,39,4.1
PANP,PANDAVAPURA,Karnataka,CGKR,CHANDAGIRIKOPAL,Karnataka,2,5.8
CGKP,CHANDAGIRIKOPAL,Karnataka,CGKR,CHANDAGIRIKOPAL,Karnataka,39,1.7
